Title,Date of Reviews,Reviews,Star Rating
Erlin widayanti,21-Nov-23,"Untuk pedagang kecil sistem kirim2 via aplikasi tidak direkomendasikan.sebab yg saya alami jualan suatu barang elektronik (plus minus sudah ada dideskripsi) jika harga nominal BRG tsb nominal besar dan pembeli sudah menerima barang namun tidak melakukan klik konfirmasi penerima an barang di aplikasi,uang hasil penjualan akan terlalu lama.dan pedagang kecil sprti saya akan lambat perputaran nya.alias rugi.",Diberi rating 1 bintang dari 5 bintang
Yasir Yasir,15-Nov-23,"Shopee lagi eror apa gimana sih, baru pertama kali mau belanja malah akun saya di batasi dan di tuduh melakukan aktivitas yang tidak wajar padahal *BARU MAU BELANJA/ PERTAMA KALI MAU BELANJA, kecewa berat sih, niat mau belanja praktis malah jadi mempersulit",Diberi rating 1 bintang dari 5 bintang
Oca Ana,21-Nov-23,"Aplikasi burik , jangan di download. Udah punya akun , masuk di akun sendiri tetap aja gk bisa . Gimna mau maju , kalo lama"" kayak gini. Masuk di akun sendiri aja gk bisa. Berkali kali di ulang sampai 100 kali ttp aja gk bisa log in. Dasar aplikasi sinting . Semakin di perbarui semakin buruk hasilnya. Gak usah pake lama . LANGSUNG HAPUS aplikasinya",Diberi rating 1 bintang dari 5 bintang
NANDIRLAYMIN NANDIRLAYAMIN,25-Nov-23,"Ga jelas sekarang aplikasi dan pengirimanya teurtama Untuk SPX ada beberapa kali barang udah tunguh lama mau setengah bulan tiba tiba barangnya di Censell 🥲🥲, lebih senang yang dulu bisa Pilih opsi pengirimanya, seperti bisa pakai jastip JNE, J&T dan Si Cepat...manajemen pengiman SPX tidak Baguss Min terutama untuk pengiriman di luar pulau Jawa min!!!!!!!!!!!!!!!!!!!!!!!!!!!!! # Mohon di perhatikan lagi Min tentang opsi dan layanan pengirimanya 😓😓",Diberi rating 1 bintang dari 5 bintang
Akmad Sajidin,23-Nov-23,Tolong untuk shopee jangan kasih waktu lama kepada seller atau para penjual dari tdi pesanan saya statusnya menunggu di serahkan ke jasa ekspedisi melulu sudah beberapa hari engga di kirim kirim kan masalah nya barang itu sangat di perlukan kalau memang tidak ada barangnya ya jangan di posting sudah penjual tidak pernah merespon atau menjawab pesan dari pertanyaan saya 'kapan akan di kirim kan produknya' tapi di deskripsi barang selalu ready langsung saja order tetapi barang masih aja di kemas !,Diberi rating 1 bintang dari 5 bintang
elsyavina DS,10-Nov-23,"Berkali-kali ikut flashsale udah dapet harga tertera, udah gw siapin uang dishoppepay. Dan taraaaa. Waktunya CO, dapet barang, eh tiba² fitur ShopeePay lenyap begitu saja. Wkwk. Waktu di ulur suruh pilih metode pembayaran lain, setelah milih , stok langsung nol. EVENT LAWAK!! Kalo ngebug sekali aja napa. Masa tiap ikutan gitu mulu. Ketara settingan!!",Diberi rating 1 bintang dari 5 bintang
eni yunitasari,25-Nov-23,"Aplikasi Shoppeku kmaren gak sengaja kehapus.. truz download yg baru lagi dgn akun Lama.. tp kenapa skrng gak bisa buat nonton Live... Alhamdulillah udh bisa di pakek nonton Live kak.. tapi skrng saldo shoppepay gak bisa di Transfer ke Bank.. dan waktu mau bayar blanjaan pakek shoppepay, keypad pin gak muncul.. mohon solusinya kak",Diberi rating 1 bintang dari 5 bintang
Muhammad Khoir Btr,23-Nov-23,Saya berusaha log in shopee berkali² via google dan verivikasi link via WA tapi selalu gagal. Sudah 100 kali saya coba. Tolong agar dibenahi sistemnya. Asik verifikasi aja tapi gak log in log in. Tks Nb : SHOPEE sudah saya update dan saya menggunakan perangkat baru yg RAM dan ROOM nya masih tersedia banyak. Tapi tetap tidak bisa.,Diberi rating 1 bintang dari 5 bintang
Rian Andrianto,4-Nov-23,"Sekarang Shopee ga seperti dulu, sekarang banyak penjual ga jujur, nyari produk yg benar"" Original itu seperti nyari jarum dalam jerami, banyak iklan produk yg ga sesuai deskripsi, kalau bisa blokir orang "" Nakal itu, tolong ditingkatkan lagi prosedur dan kelayakan menjadi penjualan, saya sebagai konsumen kasian jika liat orang-orang lain tertipu. Atas perhatiannya saya ucapan terimakasih.",Diberi rating 1 bintang dari 5 bintang
Nadia Anggi,22-Nov-23,Dulu pas TT shop belum di tutup setiap beli di shopee pasti ada gratis ongkir. Walaupun minimal belanja 30k pake metode pembayaran transfer bank lain juga ada gratis ongkir. Sekarang sementaj TTshop di tutup malah gaada gratis ongkir. Gratis ongkir minimal belanja 30ribu juga gaadaa!,Diberi rating 1 bintang dari 5 bintang
Pinka Amelia,22-Nov-23,"Apk aneh saya mau beli barang dah pake akun baru dapat voucher kek biasa selalu ada tulisan ""Kamu telah menggunakan promo ini. Mohon coba promo lainnya. Jika tetap melanjutkan checkout, akunmu dapat diblokir sesuai Kebijakan Shopee yang berlaku."" Apa coba ini kan akun baru aku blm beli apapun dan aku dah ganti nomor 3 kali karna ini doank trauma banget make shopee mana saya mau beli banyak barang malah bermasalah nyebelin banget ku kasih bintang satu ya!",Diberi rating 1 bintang dari 5 bintang
kkaizen,25-Nov-23,"cuma di sopii kalo buka/cari sesuatu pasti aplikasi berat banget jalannya padahal penyimpanan masih banyak, jaringan bagus, tapi kenapa berat banget ya, padahal di tempat sebelah semuanya lancar aja malah lebih ringan dri pada disopi tpi karena lebih komplitan sopi jdi tetep maksa beli di sopi walaupun berat",Diberi rating 1 bintang dari 5 bintang
Agung Sugiarto,14-Nov-23,"Tolong di cek kembali data2 penjual , banyak kasus penipuan.. Saat transaksi COD.. Karna.. Merasa tidak memesan barang dr toko nya , di kirim.. Krna tdak ada status pesanan ,, barang tetep di kirim ke rumah. Makasih dan di tambah.. Untuk pengiriman nya buruk Barang tidak sesuai alamat , pesanansudah di terima... Pihak keluarga.. Nyata nya tdk ada 1 pun yg menerima.., masalah kemarin ndak ada kejelesan dr pihak shopee.. Tidak ada jalan keluar nya.. Boss .",Diberi rating 1 bintang dari 5 bintang
Astri Rangau,20-Nov-23,"Udah mulai rada rada ku tengo aplikasi ini... Biasanya enak,ini udah GC enak lagi d gunakan.😪 Yang biasanya bisa terus terusan cod ini udah GC bisa lagi. Lama lama kurang jadinya menggunakannya... Moon maaf cuma 1 saya kasi bintang. Karna menurut saya sudah tidak enak lagi di gunakan atau berbelanja d sini. Mohon di perbaiki yah 🙏🙏",Diberi rating 1 bintang dari 5 bintang
Ela selfi08,22-Nov-23,"Shopee sekarang semakiin ribettt, ribett banget. Banyak cengkonek nya untuk dapetin gratis ongkir. Padahal penghasilan ku dari sini, tapi sekarang terpaksa tutup karna ongkir shopee uda susah bngt didapatkan. Gak bisa CO sekaligus banyak terus gratis ongkir gitu. Harus beli satu persatu. Bakal pindah si aku ke toko sebelah. Terima kasih bertahun tahun belakangan ini aku dibuat begitu cinta sama aplikasi ini, tapi sekarang begitu gak suka nya sama aplikasi ini karna adanya s&k yang baru. RIBETTT.",Diberi rating 1 bintang dari 5 bintang
Abdul wahid Jangkar,15-Nov-23,"Dulu waktu pengiriman masih pakai j&t lancar jaya, setelah pakai shopee expres malah lambat dan kaun pula,Aplikasi nya sangat lemot, lelet. Lama2 hp jadi blank, kurir nya juga kalo pake Shopee Expres sangat lelet, kebanyakan sampai nya diluar estimasi. Sangat mengecewakan Ahir Ahir ini, Shopee semakin jelek pelayanan nya",Diberi rating 1 bintang dari 5 bintang
ita aulia,22-Nov-23,"BINTANG 1 UNTUK PENGIRIMAN SHOPEE. Pengiriman super lama, kurir tidak mau mengantarkan dan barang kadang ada yg hilang atau gagal pengiriman. Kalo gk sanggup menampung semua paket tolong pemilihan pengirimannya jgn otomatis ke SPX. Lebih baik ke JnT, atau yg lainnya. Kasihan ibu2 yg tdk bisa merubah ekspedisi pengirimannya.",Diberi rating 1 bintang dari 5 bintang
milla indrianietha,24-Nov-23,"Untuk aplikasi shope 12.12 menurut saya sangat buruk kenapa? Krn tidak ada fitur tawarnya..harga 4,4jt biasanya ditawar jadi 4,2jt bisa saat masih aplikasi yg lama 11.11, setelah pembaruan jadi ga bisa lagi menawar.ditoko lainpun tidak ada yg bisa ditawar. #24/11/2023",Diberi rating 1 bintang dari 5 bintang
Dwi Purnamasary,27-Nov-23,"Kok bisa ya masih ada penipuan padahal beli melalui Shopee sudah bertahun tahun.. Dan baru kali ini kena tipu, meskipun ngk seberapa. Tp barangnya yg ditunggu itu lo menurutku yg berharga.. Amanah penjualnya jg ya ampun gimana sih, kan kalau kayak gini jadi kecewa semuanya.. Ya di pihak Shopee ya d seller!!! Bener² bikin kapok, tp baju langganan dll ada d sini semua!!!! Menyebalkan!!!",Diberi rating 1 bintang dari 5 bintang
DiXiE,21-Nov-23,"Tolong optimalisasi aplikasi lebih ditingkatkan, agar lebih stabil dan nyaman. jangan hanya mementingkan event dan gimmick untuk menarik pelanggan tapi OPTIMALISASI juga penting. terimakasih",Diberi rating 1 bintang dari 5 bintang
Helmalia,9-Nov-23,"Awal"" pake shopee jatuh cinta bgt sama ni aplikasi, krna bnyk diskon terutama diskon live 50% dan gratis ongkir, tapi makin kesini, gratis ongkir udah susah , diskon live jg dikit, koin nya jg pelit. Aplikasi hrs d update tiap bulan, tapi malah makin lelet.. 😌",Diberi rating 1 bintang dari 5 bintang
Gaded Tok,23-Nov-23,"Maaf bintang satu,, untuk di game shopi lebih ke Langganan pass mending di kasih fitur pencet iya/tidak,, soalnya pintar sekali tombol kembali kadang setelahnya keluar langganan pass,, akhirnya gara-gara lemot bentar pdhal sinyal bagus,, langsung langganan pass yg gak berguna dan menghilangkan beberapa ribu koin shopee yg sudah susah payah di kumpulin,,, Mending download apk sebelah kalo lebih bagus ngasih fitur-fitur mending pke apk yg sebelah",Diberi rating 1 bintang dari 5 bintang
Endah Kumalasari,6-Nov-23,"Dibatasi mulu.. udah pengajuan lewat email, lewat chat cs ujung²nya berkali² dibalas pake robot pesan otomatis. Dan disuruh berkali² juga kirim data dari foto selfi, foto ktp dan data pribadi lainnya. Ttp akun tidak bisa digunakan. Baru download, mau belanja egk bisa. Jd aku egk rekomen ke tmn² ku utk pake shopee. Takut mereka mengalami hal yg sama ky aku. Jadi ragu, takut disalahgunakan data pribadi. Apalagi kalau ada saldo shopee pay yg lumayan byk.",Diberi rating 1 bintang dari 5 bintang
Triana Aditiya R,17-Nov-23,"Ini sebenarnya bintang 1 karena beranda yang direkomendasikan sangat tidak sesuai, malah sering memberikan rekomendasi produk 18+ padahal gak pernah dicari. Capek juga udah dilaporin 1000× juga percuma gak ada perubahan. Kecewa lebih banyak rekomendasi produk yang tidak sesuai:(",Diberi rating 1 bintang dari 5 bintang
Fajar Septian Pradana,18-Nov-23,"Aplikasi shopee ini sangat berat dan boros kuota untuk dijalankan di hp low end dan mid range ram 3 kebawah tolong di tingkatkan lagi performanya, untuk yg lain lain sih bagus.",Diberi rating 1 bintang dari 5 bintang
Topanz Dayz,19-Nov-23,Aplikasi lag berat. mendingan shopee lite lancar tanpa kendala namun koin dan Voucer di hilangkan. Pusing jadinya tidak ada nya solusi yg baik. Saran Saya Ga usah pasang di Playstore mending bikin website sendiri. jadi lebih mudah prosesnya. Programernya kurang Smart. alias lol. kalah sama aplikasi lain. banyak fitur namun di klik langsung kebuka. ga kaya shopee loading lama bgt.,Diberi rating 1 bintang dari 5 bintang
suharti ningsih,20-Nov-23,"Makin ke sini makin lucu aja performa shopee nih, dari gratis ongkir gk ada, voucher dikit, lola, belum lagi apa-apa pembayarannya harus pake se*b**k baru di kasih gratis ongkir, belum pengiriman pesanan leletnya mintak ampun, belum lagi dalam satu pemesanan bisa di kenakan biaya penanganan mencapai 6000 ke atas, hadeuh sama aja dong belanja ke pasar. padahal dulu gk gini amat. Tolong dong, balikin lagi performanya jadi shopee yang dulu. Bilangnya lagi even 10.10 atau 11.11, tp gk ada even²nya.",Diberi rating 1 bintang dari 5 bintang
alma fatah,5-Nov-23,"ga guna, udah punya akun, hapus app gegara memori penuh. abis unduh ulang kok gak bisa masuk, masukin password katanya salah, bikin password baru katanya password yang sekarang gak boleh sama kayak password lama, MAKSUD LOE APAAN?!",Diberi rating 1 bintang dari 5 bintang
Kholilur Rahman,20-Nov-23,"Mohon maaf sebelumnya saya kasih bintang satu, karna menurut saya apk ini gak kayak dulu, di update bukan lebih baik malah tambah buruk, jaringan normal tapi gak bisa dibuka, tolong dong jangan seperti ini biar gak merugikan yang menggukan apk ini. Terima kasih",Diberi rating 1 bintang dari 5 bintang
Hardianto Lapadjawa,23-Nov-23,Tolong untuk dari pihak shopy express di perbaiki layanannya. Krna kru nya sedikit trus permintaan psanan semakin banyak otomatis layanannya lambat!!! di tambah lagi sudah tidak bisa mengambil paket di gudang sedangkan kurir pengantarannya lama. Tolonglah pihak shopy gudang tolong di buka untuk pengambilan atw buatlah kantor pelayanan. Untuk mmpercpat pelayanan.!!!! Parah sih kalau bisa buka untuk JNt seperti kamarin itu lebih cepat pelayanannya!!!!,Diberi rating 1 bintang dari 5 bintang
Dewi Pe,7-Nov-23,Shopeepaylater saya tidak dapat dipakai dicek juga tidak bisa. Mau chat dengan shopee juga tidak bisa. Cuma keluar layar putih saja itu kenapa ya ? Terus mau ngadunya kemana kalo chat saja tidak bisa di klik ? Duh padahal masih 4x cicilan.,Diberi rating 1 bintang dari 5 bintang
Delima Rahma,7-Nov-23,"Semua pengiriman dibikin default pake spx, tapi spx nya ga bener sama sekali. Paket udh lewat dari waktu estimasi, tapi malah disuruh perpanjang garansi. Ga semua toko juga mau pengembalian krn pengiriman spx ini... bener2 kecewa bgt klo kirim pake SPX, mau spx jenis apapun... bener2 kapok",Diberi rating 1 bintang dari 5 bintang
Yulianda Sri Wulandari,24-Nov-23,Beli di shopee pesanan gak pernah diantar ke rumah tapi status gagal dikiri. Sampai di gagalkan dan dikembalikan ke penjual. Padahal saya butuh banget barangnya. Chat CS shopee gak bisa kasih solusi. Kejadian ini gak sekali duakali,Diberi rating 1 bintang dari 5 bintang
Nurlaila Kheiradynzie,6-Nov-23,"Hp saya error' jadi reset pabrik. semua aplikasi hilang termasuk shopee. Saya mencoba untuk mengembalikan akun shopee lama saya Krn udah beberapa tahun pakenya, (mana baru saja pesan produk) tapi gagal trus. Saya coba lewat formulir gagal log in, Tapi harus verifikasi data otp via email. Masalahnya email aku yg diminta verifikasi itu sudah gak bisa terbuka, Usaha hubungi cs sampe 2 hari tetap saja diarahkan verifikasi email itu lagi.... Yaaa... Pasrah...mungkin saatnya goodbye shopee....",Diberi rating 1 bintang dari 5 bintang
Putra Fahmi,22-Nov-23,"Ini bagaimana min, paket udah 3 minggu gak dateng dateng. Gagal di pengiriman ke alamat sudah 4 kali. Tiba tadi liat status paket pengiriman gagal. Di kembalikan ke penjual. Kok bisaa, padahal alamat jelas dan di tengah kota bukan di pedalaman, tolong lah spx kayak mana ini. Sudah di live chat, gada solusi juga, di suruh nunggu dana kembali. Kacau",Diberi rating 1 bintang dari 5 bintang
Naufal Aruna,26-Nov-23,"wahai shopee yang baik hati nan tidak sombong, perbaikilah sinyal atau jaringan mu itu, semenjak update menjadi ngelag tidak karu karuan, sudah mencoba berbagai cara salah satunya hapus cache dan tidak ada perubahan, terimakasih",Diberi rating 1 bintang dari 5 bintang
Erdy Sutisna,20-Nov-23,"Makin parah aja Shopee buka apps lemot gambar lama muncul, pembayaran kadang error (reload) padahal sinyal bagus. Di clear cache di apps ga ngaruh juga masih lemot",Diberi rating 1 bintang dari 5 bintang
Sandi Midhfar,3-Nov-23,"Makin banyak masalah, load lama, suka gagal load, aplikasi tidak stabil. Parah nih tim developer nya. Perlu dievaluasi. Makannya saya lebih suka pake yang ijo karena lebih stabil sehingga transaksi lebih no worry. Setelah update malah lebih parah.",Diberi rating 1 bintang dari 5 bintang
Sugiarto Landauapus,5-Nov-23,"Kenapa ya akhir-akhir ini saya mau beli barang dn lain-lain gak bisa bayar d tempat lagi,hrus d bayar dulu,d transfer,pda hal saya bayar d tempat trus kalau barang udh sampai, sekarang gak bisa,tolong d pulihkan lagi akun saya🙏🙏 Maaf saya kasih satu aja bintang nya, soalnya saya kecewa gak bisa belanja lagi",Diberi rating 1 bintang dari 5 bintang
Ibra Syaif,10-Nov-23,"Tolong diperbaiki aplikasinya. Saya mau Batalkan pesanan tapi opsi pemilihan nya ga keliatan, alias ga ada tulisan nya/putih semua. Ini sama seperti memilih ekspedisi lain. Anj!!",Diberi rating 1 bintang dari 5 bintang
o 1,13-Nov-23,"Tolong dong shopee sedia in kurir yang siap nganter ke alamat tujuan, ini daerah bengkulu utara banyak kendala di masalah kurir tolong tingkat in lagi. Soalnya paketan yang dipesen sering telat. Bahkan kurir khusus Shopee gk ada yang masuk nganter paket bahkan sering dititipkan ke kurir j&t.dan kami sering dapet biaya tambahan lagi. Terima kasih",Diberi rating 1 bintang dari 5 bintang
J Zeinudin,10-Nov-23,"Terkait koordinasi shopee, seller dan agen pengiriman akhir-akhir ini sangatlah mengecewakan, contohnya pesan tanggal 8 sampai saat ini tanggal 11 belum juga dikirim, logikanya kalo pihak shopee terlalu berpihak pada seller dan agen pengiriman yakin buyer sangat kecewa dan berpengaruh kepada para user aplikasi shopee. Kami sebagai buyer bayar tidak gratis !",Diberi rating 1 bintang dari 5 bintang
Andika Putra Arief,17-Nov-23,"Buruk sekali, pengiriman via Shoope harus nunggu sampai saat ini stts nya masih dalam perjalanan via Laut,sudah 1 Minggu loh Harus nya cek out ada pilihan via apa kita mau dalam pengiriman... Parah dan parah untung untung kalau gak batal dan di kembalikan,kalau terjadi lebih gawat lagi",Diberi rating 1 bintang dari 5 bintang
