Title,Date of Reviews,Reviews,Star Rating
Rousa Gilli,5-Nov-23,"Udah update berkali-kali , udah coba begini begitu tapi ttp ajh gak mau buat checkout.. Masalah terus jadi bisa kabur nii dr Shopee",Diberi rating 1 bintang dari 5 bintang
Silvera Kurniawan,27 Oktober 2023,Aplikasi ga bisa di buka.padahal sudah di update di pla store. Memori tidak penuh. Dan jaringan WiFi sinyal kuat . Gimana ya,Diberi rating 1 bintang dari 5 bintang
Maulidya Cindi,27 Oktober 2023,"Saya mau transfer lewat shoppe tapi tidak bisa masuk Mala tulisan jaringan tidak bagus padahal sudah pakai wifi ,tolong sistem nya di perbaiki",Diberi rating 1 bintang dari 5 bintang
GATAL BURIT,22-Nov-23,"Apk nya sangat jelek,,masak kita chakeout gak bisa katanya apk sedang di update pdahal udah saya update apk nya,,tolong di benerin lagi dong saya mau belanja jadi susah",Diberi rating 1 bintang dari 5 bintang
puspita sari rahayu,8-Sep-23,Sangat kecewa sama pelayanan Shopee. Bilangnya biaya ongkir pengembalian barang mau diganti. Tp nyatanya malah diganti dengan voucher belanja yang nggak sebanding dengan nominal ongkir!!!,Diberi rating 1 bintang dari 5 bintang
Tom Jer,3-Nov-23,Saat ini Shopee sangat buruk harga yg di posting sangat beda sekali belanja harga justru lebih mahal.. malah murah belanja offline. siap siap aj di tinggl pelangan jika masih seperti ini,Diberi rating 1 bintang dari 5 bintang
Indian puspitasari,21-Sep-23,"Jelek banget, buruk. Untuk SPX Standard pengiriman buruk. Cuma karena pembeli gak ada di rumah, paketnya dikembalikan ke penjual dan tidak di kirim lagi. Jangan pake pengiriman SPX Standard jelek banget pokoknya. Kecewa...",Diberi rating 1 bintang dari 5 bintang
Adiesty Alfarizky J,6 Oktober 2023,"Saya terus menerus ditelfon untuk menggunakan spinjam. Kadang ditelfon saat sedang kerja/meeting. Tolong diperbaiki. Itu sangat mengganggu, mohon ya. Saya tidak berminat sama sekali untuk menggunakan fitur tersebut. Tolong!",Diberi rating 1 bintang dari 5 bintang
Qisny 0324,14-Nov-23,"buat kurir shope tolong dong barangnya dikirim dengan bener,, udah berapa kali beli di Shopee yang pengirimannya pake SHOPEE XPERES diterima barangnya sama orang lain bukan yang bersangkutan..",Diberi rating 1 bintang dari 5 bintang
Rizal Efendi,10 Oktober 2023,"Tolong hapus short video, live video, shopee game, itu memberatkan kinerja aplikasi, dan kenala filter hanya bisa sampai tingkat provinsi dulu bisa sampai tingkat kabupaten. Semakin update fitur yang berguna dihilangkan fitur yang tidak berguna malah ditambahkan dan tolong tambahkan fitur hapus spaylater,spinjam, dll. Krn keamanan shopee masih sgt diragukan klo bisa tmbhkan fitur verifikasi 2 langkah dgn menggunakan kode sms",Diberi rating 1 bintang dari 5 bintang
monica putri.A.,16 Oktober 2023,"Gak enak banget skrg shopee, udh bnyk biaya perintilan abis itu angkutan ny gak bisa pilih kya sblm ny mau j&t ato yg lain ny. ini pakai shopee express trs mnaa lelet banget lgi pengiriman & jg brng tinggal anter ke alamat tujuan malah muter² lg paket ny. ihs ngeselin sumpah, malesin banget pake shopee skrng!!!",Diberi rating 1 bintang dari 5 bintang
Alwi Maulana,26 Oktober 2023,"Saya sudah blokir Livestream salah satu toko, tapi kenapa muncul terus di homepage. Saya risih liat muka minyakan sampe meling, ngga mau liat tapi muncul terus risih.",Diberi rating 1 bintang dari 5 bintang
Feby Wulandari,9-Sep-23,"Shopee makin kesini makin bad pelayanannya, aplikasinya lemot but check out harus nunggu lumayan lama. Pengiriman super duper lama banget pesanan dari tanggal 9 gak jalan jalan masih di lokasi yang sama. Gak Kek aplikasi sebelah pengiriman nya sangat cepat. Shopee ni lama lama gak ada perubahan ya, nunggu paket lama2 berharap banget datang ehh ujung2 nya hilang",Diberi rating 1 bintang dari 5 bintang
Wara Arif Handayani,13-Nov-23,Kalo mau gratis ongkir mesti nunggu dulu 11.11 12.12 buset Kenapa hrus ada biaya layanan sih min mana mahal mau blanja aja pngen grtis ongkir. Dulu gak ada tambahan biaya blablabla soalnya jd pengen tau aja,Diberi rating 1 bintang dari 5 bintang
Annisa Oktaviana,15-Nov-23,"Beli paket data udh sejam ga masuk², komplen ke cs nya blg udh sukses, pas dicek lgi mana masih diproses. Shopee lama²kaga bener!!!",Diberi rating 1 bintang dari 5 bintang
Fafan Saputra,8-Nov-23,"Lemot, selalu keluar saat Loading, speed internet 15mb juga gak ngaruh. Pakai yg lite tp tdk ada menu pembayaran CC",Diberi rating 1 bintang dari 5 bintang
yuliana radiah,6-Nov-23,"Tolong dikondisikan, mentang2 tiktok ditutup online shop nya, semua orang ganti ke shoppe buat blanja. Jadi mahal gak bisa gratis ongkirrr. Giliran gak laku nntti pas diubh lagi jadi murah ada gratis ongkorny,",Diberi rating 1 bintang dari 5 bintang
Tiazhar Amira,15 Oktober 2023,"Buruk sekali .pengajuan pengembalian dana malah ditolak,jelas2 saldo e toll gak masuk2 sudah di updatte berkali2 pun ,,saya gak mungkin laporan dan mengajukan pengembalian dana kalo saldo sudah berhasil masuk. Kecewa yaang ke dua kalinya. Saldo d rek saya pun sudah berkurang dan pembayaran pun status berhasil . Kenapa pihak shope tdk maau mengembalikannya.??",Diberi rating 1 bintang dari 5 bintang
Fanny,27 Oktober 2023,"App nya sering ngelag pdhal file nya dah gede bgt. Tampilan appnya juga berantakan. Iklannya shoppe di web internet kebanyakan yg main redirect ke app shoppe atau ke play store (waktu appnya ndak ke install), jujur ganggu banget sih padahal kadang cm klik next di laman beritapun malah ke redirect. Notifnya juga spam bgt, jd susah bedain yg mana info ttg pesenan dan yg mana info promo doang.",Diberi rating 1 bintang dari 5 bintang
unboxing ID,20-Nov-23,parah shope masa akun saya di batasi . ribet . saya jadi ngk bisa belanja ngk bisa komen di live streaming . kalo emang ada kesalahan kan bisa kasih teguran kalo ada pelangaran harusnya ada notif yang jelas. ini main blokir akun saja,Diberi rating 1 bintang dari 5 bintang
Oress163,16-Nov-23,"Tolong shopee diperbaharui inbox chahat bisa ditandai untuk penghapusan chat inbox, karna harus dihapus satu persatu jadi ribet. Pesan yg penting jadi nggak kebaca gara gara terlalu banyak inbox. Broadcast tolong di hilangkan karna nggak terlalu penting. Mohon di baca dari pihak shopee🙏",Diberi rating 1 bintang dari 5 bintang
Firmanmaulana Firman,7-Sep-23,"Untuk expedisi spx dari shope sendiri sering bermasalah paket sampe 2 minggu gg jalan bahkan ada yg hilang ga jelas.. Sampe saat ini 3 paket saya ga jelas asal usul nya ke mna, masih di lokasi tambora ga jalan, pokonya spx tabora ga rekomended untuk jadi expedisi terlalu lambat penangan paket nya..",Diberi rating 1 bintang dari 5 bintang
Guruh Hammer,14-Nov-23,sudah di update tapi setiap kali alih menu selalu lemot....kok aplikasi ga simpel sama sekali semakin kesini...,Diberi rating 1 bintang dari 5 bintang
Nana Pudc,24 Oktober 2023,"Setiap belanja di sini entah kenapa selalu bermasalah dengan pengantaran nya tidak pernah sesuai dengan yang di harapkan..tidak pernah sesuai dengan tanggal yang seharusnya..apalagi kalaw bayar cod selalu di cancel sepihak seenak jidat sendiri alesan nya alamat kurang jelas lah ini lah itu lah..pada males gak mau berusaha nyari alamat selalu di besoknya"" pas di cancel sendiri malah datang itu paket"" dianterin..kurang propesional banget bagian pengantaran nya..",Diberi rating 1 bintang dari 5 bintang
Januar Sipon,22-Nov-23,"Shopee afiliasi nya aneh sudah ada yang klik Link eh gak kehitung, apalagi ada yang beli pasti pura2 tidak termasuk percuma sebar link di sosmed pantesan tinggi hasilnya lha itu belum tentu kehitung semua, jualan 100 paling kehitung 5",Diberi rating 1 bintang dari 5 bintang
Rizal Pangestu,26 Oktober 2023,"Sekarang aneh, gabisa pilih pengiriman (otomatis reguler atau hemat) padahal mau pake instant. Udah mana berat, voucher dikit, bayar juga harus paylater pake shopeepay suka mental sendiri wkwk, hadeh makin update makin berat tapi malah tambah buruk kualitasnya",Diberi rating 1 bintang dari 5 bintang
edi saptrra,26-Nov-23,"nyesal pakai apl ini,yg bisa pakai paylater cuma buat sanak saudara nya aja,kalo hanya buat pesan barang aja di apl ini,ngapain harus pakai ini apl ,masih banyak yg lebih bagus dari shopee ini,malah lebih memuaskan.",Diberi rating 1 bintang dari 5 bintang
Putu Nis,22 Oktober 2023,"Ada masalah apa sih Shopee android ? Sebagai seller bugs ini sangat terganggu, Cari foto di galeri susahnya minta ampun, Aplikasi yang lain normal normal aja, tolong dong perbaiki. Masak update foto di galeri malah gak ada",Diberi rating 1 bintang dari 5 bintang
Bayu Hannas,29 Oktober 2023,Pesanan saya hampir sebulan gak sampai2. Di status tidak ada perubahan. Padahal uang sudah ditransfer. Mengajukan pengembalian dana gak berhasil. Kalo sampai Minggu depan gak sampai saya uninstal. Gak akan pernah lagi pake Shopee. Mudahan kenyang makan uang haram!!!!!!!,Diberi rating 1 bintang dari 5 bintang
Anak Rantau,20-Nov-23,kalo emang g ada gratis ongkir vocer ilangin lah jgn di tampilin udh di klik ceklis pas cek out malah ga bisa!!! pelit sekarang sama free ongkir,Diberi rating 1 bintang dari 5 bintang
Wahyu Rifai,21 Oktober 2023,"Makin lama aplikasi ini makin gk jelas.. Jaringan bagus tapi kadang gk terbuka,dan lemot.. tolong perbaiki nih aplikasi,jangan nama aja yg besar tapi kualitas rendah..",Diberi rating 1 bintang dari 5 bintang
FRANGKI MOMONGAN,23-Nov-23,Voucher Gratis Ongkir sangat merugikan konsumen. Ternyata jika menggunakan gratis ongkir maka pilihan pengiriman menjadi 14 hari s.d 30 hari. Parah!!!!,Diberi rating 1 bintang dari 5 bintang
Arif Fathul Andalus,29 Agustus 2023,"Aplikasi pengganggu, nelpon berkali-kali menawarkan spinjam. Akkhirnya saya angkat telponnya dan mendengarkan penjelasan untuk hanya mengaktifkan spinjam tanpa perlu meminjam. Pas mau diaktifkan malah gak bisa, suruh hubungi operator. Dasar sinting! Bikin aplikasi koq membingungkan.",Diberi rating 1 bintang dari 5 bintang
Lola Pertiwi Mulyadi,15 Juni 2023,"Lambat, lemot, mau chat ke penjual sering gagal terkirim, pdhl jaringan stabil, pake wifi or paket internet sama aja. Susah bgt mau transaksi, menyulitkan pengguna. & fitur yg gak penting, reel video lebih baik dihilangkan, gak berguna utk pengguna!",Diberi rating 1 bintang dari 5 bintang
Mukhamad Aditian,30 Oktober 2023,"Perbaiki lagi! Setiap mau ngeklik sesuatu nggak bisa dan malah muncul tulisan ""Feature is not available""",Diberi rating 1 bintang dari 5 bintang
Marzixes Lezias,3 Oktober 2023,"Susah banget buat download fiturnya, selalu gagal terus. Padahal koneksi lancar aja buat semuanya sedangkan buat download fiturnya lama terus error terus. Niat gk sih buat benerin nih aplikasinya, mau pakai spay aja butuh download dulu tapi di download malah gk bisa, gk jadi check out akhirnya",Diberi rating 1 bintang dari 5 bintang
Umi Salamah,12-Nov-23,"Setiap pesanan saya di batalkan oleh pihak shopee padahal sudh menunggu, emng shopee tidak ada tanggung jawab, aplikasi sangat burukkk sangat sangat buruk , mendingan tik tok cepat dia tanggap, dasar shopee tidak berguna tidak berfungsi 👎👎👎",Diberi rating 1 bintang dari 5 bintang
Andrianus Waloeyo,26-Nov-23,"DI DOWNLOAD MUDAH, DI PROSES MENYULITKAN PURA PURA LEMOT ALASAN LODING sampek 30menit hampir 1jam wifi ku 800.000mbps paket data ku 250.000GB youtobe tiktok lancar hanya aplikasi shopee nya aja yang rusak. berharap di beri bintang 🌟5 di dalam games info iklan nya -+110, kaya nya meyakini menjanjikan nyata nya HANYA BESAR IKLAN terlalu banyak aturan daftar KK KTP EMAIL FACEBOOK TWITER W.A & IG +PASEORD",Diberi rating 1 bintang dari 5 bintang
Aditya Bayu,3-Nov-23,"Ini kenapa shopee makin kesini makin buruk, banyak toko yang di blokir dan sekarang tidak bisa membeli produk dari luar negeri, percuma update shopee kalau pelayanannya makin buruk",Diberi rating 1 bintang dari 5 bintang
MAGNET REZEKI SUKSES,17-Nov-23,"Login aja pake verifikasi wajah segala ribet banget sih😡 padahal akun pribadi, pihak shopee gak tau diri😡malah tambah ribet mau ganti nomer hp aja susah.",Diberi rating 1 bintang dari 5 bintang
Mick Bachtera,27-Sep-23,"Aplikasi yang bikin binggung. Ada 2update versi 9.9 dan 10.10. Jadi pencairan coin bonus hilang. Di tolak tapi tidak di kembalikan. Katanya terdeteksi kecurangan. Padahal 1 Hp, dan di update malah seperti ini.",Diberi rating 1 bintang dari 5 bintang
Imam Soleh,17-Nov-23,"Hati"" Banyak penipu yg berjualan di shopee dngn cara pasang fto&dekripsi yg menarik tp setelah di pesan barang yg sampai tdk sesuai Trs pihak shopee jg mempersulit untuk pengembalian barang dngm jasa pengiriman brang yg gk bisa qt pilih yg kita mau",Diberi rating 1 bintang dari 5 bintang
Cecilia Lauren,16 Oktober 2023,"Udah gak ada toko yang dari luar negeri lagi banyak yang dibatasin dan dihilangkan toko yg dari luar negeri, makin down ajha Shopee tmbh lgi mau COD ada biaya penanganan, kapan maju nya Indonesia klo kyak gini",Diberi rating 1 bintang dari 5 bintang
SedahMerah,23-Nov-23,Lemot aplikasinya. Mau hapus barang yang di keranjang klik barang tp tanda nya gak mau nempel. Trs mau nambah barang ke keranjang tapi dibuka keranjang nya ga ada barang yg tadi aku masukin,Diberi rating 1 bintang dari 5 bintang
Lidjan Christyanto,7-Nov-23,Saya kecewa tentang shope pinjam..saya udah member gold dan sampe skarang saya ngajuin shope pinjam.. dari dulu sampai skarang masih belum bisa ngajuin pinjaman.. saya benar2 kecewa..kurang perhatian dari shope ke pelanggan.. saya turunin bintang jadi 1.. mohon perhatian lagi ke pelanggan yg lama..trima kasih..,Diberi rating 1 bintang dari 5 bintang
Wenki Syahputra,8-Sep-23,"Terima kasih shopee, untuk saat ini banyak banget barang tipuan yg tiba, pesannya ini yg datang lain, dikoreksi lebih detailah buat toko yg ingin kerja sama termasuk kurirnya juga, bisa pulak Kurirnya mengantar tiba"" pas pesanan masih diproses, ada juga Kuring mengantar paket sampai 2 atau 3 X, dikoreksi lagi kalau mau pelanggan setianya tetap berbelanja di Shopee, jngan dibiarkan ini terjadi pada orang lain 🤬",Diberi rating 1 bintang dari 5 bintang
Mahfud Ipuk,31 Oktober 2023,"Kak kenapa Shopee gak bisa bukak tagihan, splater padahl mau bayar. Klo jatuh tempo kena denda padahal gak bisa dibuka. Terus kebanyakn donwload "" Segala. Tolong dong diperbaiki. Saya yg rugi",Diberi rating 1 bintang dari 5 bintang
mohamad sofiyan,11-Nov-23,"saya kecewa sama kurirnya,gak jelas,juga barang yg dijual banyak yang kualitasnya gk bagus,Verifikasi juga susah sekarang,kebanyakan syarat",Diberi rating 1 bintang dari 5 bintang
emd,14 Juni 2023,"Aplikasi shopee itu bermasalah banget, mau proses pembayara aja susah padahal tinggal nunggu masuk ke input password shopeepay tapi selalu dibilang jaringannya bermasalah. Sering juga layarnya putih semua atau aplikasi keluar tiba-tiba, belum lagi halamannya ngefreeze ga bisa digerakin atau ditekan². Tolong diperbaiki lagi, Kak. Terima kasih.",Diberi rating 1 bintang dari 5 bintang
Mio Sporty,22 Oktober 2023,"Shopee payah!!! Metode pembayaran nya gak bisa pake ewalet lain, padahal saya mau co barang pake metode pembayaran lewat dana, Tapi gak ada.... Apa karena di shopee udah ada shopeepay makanya gak bisa pake yang lain? Parah banget kalo gitu mah!!!!",Diberi rating 1 bintang dari 5 bintang
Shabrina PratamaZn,26 Oktober 2023,Keknya kalian belum siap yah untuk buka expedisi sendiri. Sangat mengecewakan menggunakan SPX barang saya dri tanggal 13 pengiriman sampe skarang tanggal 26 blom sampe. Kalo kalian kekurangan personil bisa kali ditambah kurirnya kan gk harus jadi karyawan bisa nyari freelance kan agar tdk menghambat pengiriman. Begini kan merugikan karna buat kita yg tinggal dikalimantan ni sdah nda pernah ngerasain yg namanya gratis ongkir terus nunggu lama. Ni sih bukan lagi pake kapal pengirimannya tpi sampan,Diberi rating 1 bintang dari 5 bintang
Shynthya Siburian,24 Oktober 2023,"Sebenarnya apk nya bagus cuman kadang nge lag sendiri,trus kemren² pengiriman aman² aja ga lama banget tapi sekarang udah nunggu 2 Minggu lebih dengan sabar ga nyampe² malah direturn, permasalahan dipengiriman karena ga diantar sistem cod nya langsung dimatikan jadi kek ga guna benar² kecewa sama shoope jadinya langsung uninstall aja karena kecewa Mulu pesan barang dari sini ga pernah nyampe",Diberi rating 1 bintang dari 5 bintang
Titin Pakaya,12-Nov-23,"Aku main bubble nya level da 1rb lebih, disaat aku main suka nggak terhubung, alias log out, udah sering diupgrade tp gitu lagi, gitu lagi, PAYAAAHH👎👎👎",Diberi rating 1 bintang dari 5 bintang
Farhan Separo,11-Nov-23,"aplikasi sampah.. banyak bugnya. di hp sama di pc spek tinggi dengan wifi 5g pun tetep ampas nih shope.. dikit"" update ga jelas tapi impactnya ga terlalu ngbantuin emang amhpas se ampas rangka esaf",Diberi rating 1 bintang dari 5 bintang
Nyai Ety,19-Nov-23,Kenapa dari awal sampe sekarang paylater nya gak pernah di lolosin dan spinnjam py shopee nya juga belum ada tampilan nya di aplikasi shopee kami🤔🤔 sebenarnya kecewa sih sama pihak shopee 😤,Diberi rating 1 bintang dari 5 bintang
Rei Hayashi,21-Sep-23,"Sekarang shopee ga seperti dulu!, yang sekarang shopee sering eror di pencarian ga bisa, cek out sering mutar akhirnya saya klik kembali lalu saya ulangi siapa tau bisa tapi nihil tetap aja ga bisa, mohon diperbaiki yang benar terima kasih!!",Diberi rating 1 bintang dari 5 bintang
Tri Laksito,10 Oktober 2023,"Sumpah nih aplikasi berat banget, sekelas sd 778g ram 8/256 jaringan buat download up to 4mbps aja masih ga kuat, lama banget load nya. Maaf tak ksih *1 , mohon perbaiki dulu baru. Kalau sudah ringan baru saya tambah * nya.... Terima kasih",Diberi rating 1 bintang dari 5 bintang
Iful Wahid,11-Nov-23,Aplikasi lemot padahal sinyal bagus.. yg serius dong kalo mau bikin aplikasi dan keluhan konsumen itu segera di perbaiki bukan cuma di lihat,Diberi rating 1 bintang dari 5 bintang
Putri Ayu Lestari,24-Nov-23,"saya kemarin beli barang sudah diantar satu kali tapi orang rumah tidak ada saya tanya pada kurir katanya jika sudah diantar dua kali maka di retur padahal baru diantar sekali, kalau misal dia antar dua kali pasti kedua nya sayah dirumah dan itu tidak ada sama sekali paket yg sampai, tiba' saya chat kurir bilang di retur, saya lebih suka pakai jnt dari pada pakai spx , sangat mengecewakan , saya sdh menunggu barang lama tiba' di retur.",Diberi rating 1 bintang dari 5 bintang
Sri muhamad Irwan,7-Nov-23,Masalah login yang menyusahkan. Verifikasi wajah gak bisa terus. Mana ada tagihan shopepay malah gak bisa login sekarang.,Diberi rating 1 bintang dari 5 bintang
Neneng Sukaisih,22-Nov-23,"Shopee licik,masa main game capit,udh dpt bisa lepas lg,Shopee liciiikk,udh itu koin kita di ambil pula,Shopee licik ada potongan 10ribu,tapi ongkir gratis nya di ambil,tetap pakai ongkir,terus gak ada tempat pengambilan di agen pula.. Ish gak lg dehh pakai Shopee",Diberi rating 1 bintang dari 5 bintang
Blie Ardiansyah,30 Oktober 2023,"Makin kesini shopee makin parah dari pengiriman sama tanggapan agen yang kurang tanggap tolong kalau emang mau lebih baik lagi tolong dalam proses pengiriman itu tepat dan koplain dari pelanggan di tanggapi dengan cepat dan baik,dan kenapa di stiap pengiriman yg gagal di kirim ke alamat tujuan kenapa harus mengatasi nama kan pembeli menjadwalkan ulang sedang kan pembeli tidak pernah merasa menjadwalkan ulang",Diberi rating 1 bintang dari 5 bintang
Mifta Fitriana,5 Oktober 2023,"Dear Shopee, sudah bagus untuk Aplikasinya sebagai top aplikasi Online Shop di Indonesia. Ini sekedar masukan, mohon di aplikasi shopee saat pengiriman, harap dicantumkan nama kurir beserta nomor hp kurir tsb supaya kita bisa menghubungi kurir jika ada kendala alamat yg kurang jelas mungkin. Akhir2 ini pengiriman barang selalu terlambat, dipending2 dan ada bbrp kurir TIDAK INISIATIF WA/TLP penerima barang. Khawatir kesempatan ini digunakan oknum2 penipuan",Diberi rating 1 bintang dari 5 bintang
Firdausy CHANNEL,19 Oktober 2023,"Maaf untuk saat ini shoppe membosankan karna firturnya ada yang di tutup seperti fitur luar negeri, padahal fitur itu membantu castamer untuk memilih berang yang gak ada di dalam negeri, emg sih barang dalam negeri bagus2 sedangkan barang dalam negeri terbatas pilihan, seperti perlengkapan nelayan barang luar negeri lebih bagus dan lengkap, makanya saya sering beli barang luar negeri",Diberi rating 1 bintang dari 5 bintang
Hasna Arifah,2-Nov-23,"Saya beli Kuota lewat shopee, tidak masuk kuotanya. Saya ajukan pengembalian dana malah ditolak. Menyesal beli Kuota disini. Saya beli barang juga tidak menerima pesanan. Sangat disayangkan shopee membiarkan penipu berkeliaran berjualan di e-marketnya.",Diberi rating 1 bintang dari 5 bintang
andry fatahillah,2-Nov-23,"tolong untuk shopee express nya di tingkatkan kualitas nya , terutama untuk shopee expres cabang HUB CINTA DAMAI MEDAN . barang saya tidak sampai sudah di tunggu2 dan sudah melewati batas estimasi barang sampai",Diberi rating 1 bintang dari 5 bintang
ningtias sindy,25 Oktober 2023,"Saya kasih bingtang 1 dulu sebelum aplikasinya di perbaiki, tolong di perbaiki kecepatannya.. Kuota saya banyak tp kalo mau hapus atau apa ""memuat"" Nya lumayan makan waktu..",Diberi rating 1 bintang dari 5 bintang
Tinkerbell,27 Oktober 2023,"Belanja online paling tidak memuaskan dan merepotkan, dipaksa pake kurir SPX barang tidak sampai padahal satatusnya sdh di Hub kota tujuan. Masih jauh lebih recommended TokoPedia atau Lazada.. belum lagi kendala lemot, chating ajah susah terkirim.. mending konsumen shoope pada pindah ke oLshop lain",Diberi rating 1 bintang dari 5 bintang
M hidayah Pratama,30 Oktober 2023,"shopee makin lama makin buruk kinerja nyaa,semenjak ada sistem cod-cek dulu baru bayar makin nth kekmana makin lelet pun.baru keterangan barang diantar ke alamat tujuan tapi ga ada kejelasan gagal terus di kirim,malah di return ke penjual kurir nya juga kalo di chat gamau balas suka kelen aja bahh",Diberi rating 1 bintang dari 5 bintang
Mayang Setiawati,3-Nov-23,"shopee sekarang pelit, kalo belanja gasuka ada gratis ongkir, promo memprioritaskan program2nya kaya sebank, shopee later minimal gratis ongkir 30rb, itu jga harus di toko2 tertentu, hadeuhhh mana lemot banget lagi, blm lagi sering minta update 🤦‍♀️",Diberi rating 1 bintang dari 5 bintang
luyusup supu,24-Sep-23,"Ada cara baru bagi yang punya tugas skripsi, yaitu pembeli memanfaatkan fitur komplain shopee dengan batas waktu hampir 2 minggu, sudah selesai laptopnya retur lagi dengan alasan rusak. Biar para penjual seperti saya jadi mainan sajah.",Diberi rating 1 bintang dari 5 bintang
Sandal Jepit,11-Nov-23,"Flas sale yang sangat amat parah. Bener bener gak masuk di akal. Kecewa poll. Belom sedetik looh.. masa sudah habis, di bela belain nunggu,,, eeh hasilnya nihil. Memang bener, flas sale hanya untuk orang dalam. Kecewa...!!!",Diberi rating 1 bintang dari 5 bintang
Erlis Lado,27 Oktober 2023,"aplikasi gak konsisten. kalo kita buat perasaan harus ada biaya ini dan itu, kadang bisa cod kadang gak bisa dan aplikasi juga berat gak ada perubahan",Diberi rating 1 bintang dari 5 bintang
Bhaphuck Oren,14 Oktober 2023,"Shoppe ngapa jadi lemot amat sih, padahal jaringan bagus, dan kuota banyak, memory gak full, tapi berat banget kalo di refresh, tolong di perbaiki lagi untuk aplikasinya, dan keterlambatan pengiriman barang reguler COD, apalagi dari Shopee Xpress nya LELET BANGET,!!!! barang udah seminggu kgk sampe2, kurirnya pada gak niat nganter kali, masa pengiriman barang gagal sampe 3 kali dengan alasan gak ada ditempat dan gak bisa dihubungi, padahal saya ada di rumah dan gak ada yang hubungi dari kurir.!!",Diberi rating 1 bintang dari 5 bintang
Ilona,26 Oktober 2023,"Sangat mengecewakan,sudah berusaha selalu tepat waktu bayar tagihan spaylater & spinjam tapi hasilnya mengecewakan. Bukannya limit makin naik malah jadi 0. PARAH 🤦😤",Diberi rating 1 bintang dari 5 bintang
G'NTO official,2-Nov-23,"pengiriman di shopee sekarang sangat sangat sangat sangat sangat sangat lama!!! yg reguler aja bisa sampe 8-10 hari barang baru sampe di tangan pembeli, apalagi yg hemat bisa sampe 3 mggu sampe 1 bulan baru nyampe!! terus terang aja saya sekarang lebih suka belanja di toko sebelah, penanganan dan pengiriman nya lebih cepat diskon²nya jg gak kalah sama shopee. shopee sekarang👎👎👎",Diberi rating 1 bintang dari 5 bintang
Christine Korenza,4-Nov-23,"Udah ngga bisa pake gratis ongkir,, entah apa masalah nya... Hadehh mana ditambah biaya penanganan nya gede bgt lagi...",Diberi rating 1 bintang dari 5 bintang
Anang Wijayanto,16 Oktober 2023,Sangat buruk sekali pada pengiriman Expedisi (SPX) Sangat Sangat Buruk. Dikomplain dan diberi Solusi tidak dipakai. Expedisi SPX sangat buruk sekali.,Diberi rating 1 bintang dari 5 bintang
Laura Prama,17-Nov-23,Kok akun sy ga bisa pake voucher shopee live ya padahal seharian itu belum ada check out sama sekali. Tiap mau CO jawabannya selalu katanya udah kepakai padahal nyata belum. Ini gimana???,Diberi rating 1 bintang dari 5 bintang
dalgona Ita,18-Nov-23,"Shopee makin kesini makin gajelas lemot banget, padahal baru download. Perbaiki secepetnya sebelum pedagang pindah ke app lain",Diberi rating 1 bintang dari 5 bintang
rivan amerson,11-Sep-23,"Kalo untuk kendala , pelaporan ke cs ber belit-belit , proses sangat sangat sangat lama , pengembalian pun sangat sangat lama , sampai sekarang lom ada saldo kembali Colek lewat chat ga ada guna , hanya ulang kata2 tanpa ada pergerakan cepat",Diberi rating 1 bintang dari 5 bintang
Nur Fitriani,28 Oktober 2023,"shoope nih kenapa ya.. mau CO ajah susah banget lohh... tunggu download dulu... sekali 2 kali masih maklumin berfikir sistem lagi eror.... tapi ini udah nyoba berkali-kali bahkan sudah ganti hari masih download terus nunggu sejam juga gak bisa""... tolong dong perbaiki lagi harus kebutuhan kita sudah bisa terpakai ini boro"" ...",Diberi rating 1 bintang dari 5 bintang
Juli Anti,11-Sep-23,"Shopee skrg ini makin lama makin jelek banget pelayanan jasa kirimnya. Barang sudah lewat estimasi tapi gk sampai2. Padahal barang tsb perlu mau dipakai tapi lelet banget jasa kirimnya sampai lewat estimasi gini belum smpai, beda sama toko t**t** gercep banget. 3 hari sudah sampai.",Diberi rating 1 bintang dari 5 bintang
Farhan Setiawan,12-Nov-23,"Setiap kali buka apk nya, selalu masuk ke live orang, bukannya ke menu, malah ke live, gak jelas, bikin lemot hp saya aja.",Diberi rating 1 bintang dari 5 bintang
Tanto Setiawan,13 Oktober 2023,Sangat buruk. Padahal Udah checkout barang 2 sekaligus dengan hari yang berbeda. Dan setelah melakukan pembelian akan dapat koin 40.000 sekali checkout. Seharusnya saya dapat koin 80.000. Tapi kenapa yang masuk hanya 40.000. Kan pembohongan itu. Sangat buruk apa lagi event - event dapat hadiah bagus setelah menyelesaikan quest panjang. Ternyata penipuan cuma dapat koin ampas 50 koin.,Diberi rating 1 bintang dari 5 bintang
Info terpercaya,25 Oktober 2023,"Kami sebagai penjual merasa benar2 dirugikan, terkait program asuransi yg diadakan shopee, disitu tertulis barang rusak/hilang ga diganti 100%, padahal yg bayar asuransi penjual. Paling parah lagi jika ada pengiriman ke luar negri, tiba2 pembeli mengajukan pengembalian, dan langsung diacc tanpa ada kejelasan, saat ditanyaa cs, kata.a produk tersebut tidak dilarang. Parah.a lg barang tersebut tidak dikembalikan jika kita tidak minta, walaupun dikembalikan ONGKOS kirim seller yg nanggung.",Diberi rating 1 bintang dari 5 bintang
Dika mufc,25-Nov-23,"Shopee sekarang aplikasi bosok, lemot, ngeror terus!!! Udah di upgrade tapi tetep lemot, ngeror terus!! SHOPEE PARAH!!!",Diberi rating 1 bintang dari 5 bintang
